"name","address","web","email"
"Empire Today - Jacksonville FL","10475 Fortune Pkwy Building 200 Suite 210 Jacksonville FL 32256","https://www.empiretoday.com/locations/jacksonville","[]"
"LL Flooring","9300 Arlington Expy Jacksonville FL 32225","https://www.llflooring.com/stores/fl/jacksonville/9300-arlington-expressway?utm_medium=local&utm_source=google&utm_campaign=1291&y_source=1_MTEzNzUxMTQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","[""install@llflooring.com"",""sales@llflooring.com"",""Customercare@llflooring.com""]"
"Floor Trader of Jacksonville","10769-05 Beach Blvd Jacksonville FL 32246","http://www.floortraderjacksonville.com/","[""jgleaton@floortraderjax.com""]"
"Lifetime FlooringSponsoredBy Lifetime Flooring","8440 Philips Hwy Jacksonville FL 32256","https://www.lifetimeflooringjax.com/","[]"
"Quality Flooring","8640 Philips Hwy Jacksonville FL 32256","http://www.qfjax.com/","[""john@example.com""]"
"Amazing Floors and More","9532 Historic Kings Rd S Jacksonville FL 32257","",
"Handy Andy Flooring","9440 Philips State Rte Suite 14 Jacksonville FL 32256","https://www.handyandyflooring.com/","[""handyandy@handyandyflooring.com"",""your@email.com""]"
"ProSource Wholesale Flooring","4949 Sunbeam Rd Jacksonville FL 32257","https://www.prosourcewholesale.com/","[]"
"Affordable Carpet & Wood","5149 Sunbeam Rd #2 Jacksonville FL 32257","http://www.affordablecarpetandwood.com/","[""affordablecarpet1@gmail.com""]"
"Floor Coverings International Jacksonville East","6900 Philips Hwy #10 Jacksonville FL 32216","https://www.floorcoveringsinternational.com/locations/us/fl/east-jacksonville/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=391976","[""address@domain.com""]"
