"Title","Rating","Reviews","Phone","Address","Google Maps Link"
"Floor Trader of Jacksonville","4.8","254","(904) 469-8751","05 Beach Blvd","https://www.google.com/maps/place/Floor+Trader+of+Jacksonville/data=!4m7!3m6!1s0x88e5b517c15f9f49:0x374aecdeba9aa72d!8m2!3d30.2876719!4d-81.5388069!16s%2Fg%2F1tfs1wzr!19sChIJSZ9fwRe15YgRLaeaut7sSjc?authuser=0&hl=en&rclk=1"
"Quality Flooring","4.8","109","(904) 733-7703","8640 Philips Hwy","https://www.google.com/maps/place/Quality+Flooring/data=!4m7!3m6!1s0x88e5cbb4f37445e9:0xdca4d6ee6eaefeb6!8m2!3d30.2103884!4d-81.5805051!16s%2Fg%2F1v2jdqt_!19sChIJ6UV087TL5YgRtv6ubu7WpNw?authuser=0&hl=en&rclk=1"
"Floor Coverings International Jacksonville East","4.9","61","(904) 364-0535","6900 Philips Hwy #10","https://www.google.com/maps/place/Floor+Coverings+International+Jacksonville+East/data=!4m7!3m6!1s0x88e5c915a305b977:0x3fbba4bc9afc57a0!8m2!3d30.2468074!4d-81.603971!16s%2Fg%2F11h23_2g46!19sChIJd7kFoxXJ5YgRoFf8mrykuz8?authuser=0&hl=en&rclk=1"
"Lifetime Flooring","4.8","126","(904) 906-4920","8440 Philips Hwy","https://www.google.com/maps/place/Lifetime+Flooring/data=!4m7!3m6!1s0x88e5ca359941702d:0xa32f3578b3d7c67!8m2!3d30.2144833!4d-81.5829158!16s%2Fg%2F1thq62zr!19sChIJLXBBmTXK5YgRZ3w9i1fzMgo?authuser=0&hl=en&rclk=1"
"Amazing Floors and More","4.9","96","(904) 672-5395","9532 Historic Kings Rd S","https://www.google.com/maps/place/Amazing+Floors+and+More/data=!4m7!3m6!1s0x88e5cbb42b025b91:0xf290ac0a2ae833ea!8m2!3d30.205323!4d-81.5788558!16s%2Fg%2F11c76rr900!19sChIJkVsCK7TL5YgR6jPoKgqskPI?authuser=0&hl=en&rclk=1"
"Infinity Floors USA","5.0","15","(904) 466-4863","8032 Philips Hwy #14","https://www.google.com/maps/place/Infinity+Floors+USA/data=!4m7!3m6!1s0x88e5cb79cbab5915:0xf7a1cac7853768e7!8m2!3d30.2269543!4d-81.5908764!16s%2Fg%2F11t9jq68j7!19sChIJFVmry3nL5YgR52g3hcfKofc?authuser=0&hl=en&rclk=1"
"Mike Nakhel Flooring","4.9","159","(904) 903-7012","8640 Philips Hwy STE 8","https://www.google.com/maps/place/Mike+Nakhel+Flooring/data=!4m7!3m6!1s0x88e5c92f4a9d50f3:0xd8805e7687916254!8m2!3d30.2101554!4d-81.5802245!16s%2Fg%2F1tczwrw7!19sChIJ81CdSi_J5YgRVGKRh3ZegNg?authuser=0&hl=en&rclk=1"
"Affordable Carpet & Wood","4.9","75","(904) 448-5661","5149 Sunbeam Rd #2","https://www.google.com/maps/place/Affordable+Carpet+%26+Wood/data=!4m7!3m6!1s0x88e5cbca06808c8d:0x3470f88ed700c4c5!8m2!3d30.2063448!4d-81.5816205!16s%2Fg%2F1tk8cyjn!19sChIJjYyABsrL5YgRxcQA1474cDQ?authuser=0&hl=en&rclk=1"
"Handy Andy Flooring","5.0","42","(904) 312-9008","9440 Philips State Rte Suite 14","https://www.google.com/maps/place/Handy+Andy+Flooring/data=!4m7!3m6!1s0x88e5cb9f3dcfffff:0xac27da78bdec24e4!8m2!3d30.1953721!4d-81.5697169!16s%2Fg%2F11f40qscf6!19sChIJ___PPZ_L5YgR5CTsvXjaJ6w?authuser=0&hl=en&rclk=1"
"ProSource Wholesale Flooring","4.4","26","(904) 290-2130","4949 Sunbeam Rd","https://www.google.com/maps/place/ProSource+Wholesale+Flooring/data=!4m7!3m6!1s0x88e5cbcbc5812737:0x74d98482c2f53b4e!8m2!3d30.2066263!4d-81.5850155!16s%2Fg%2F11c2q3dyd7!19sChIJNyeBxcvL5YgRTjv1woKE2XQ?authuser=0&hl=en&rclk=1"
"Five Star Floors","4.5","140","(904) 755-4161","5556 Spring Park Rd","https://www.google.com/maps/place/Five+Star+Floors/data=!4m7!3m6!1s0x88e5c9f7f91f2037:0xc4d3cbbe00a9f660!8m2!3d30.2689355!4d-81.6103574!16s%2Fg%2F11fylnhc2w!19sChIJNyAf-ffJ5YgRYPapAL7L08Q?authuser=0&hl=en&rclk=1"
"Baltic Flooring Inc","4.9","56","(904) 600-4533","6950 Philips Hwy #7","https://www.google.com/maps/place/Baltic+Flooring+Inc/data=!4m7!3m6!1s0x88e5cb73c74930b9:0xc117702efe3409b3!8m2!3d30.2464986!4d-81.6028586!16s%2Fg%2F11h5sx2q6s!19sChIJuTBJx3PL5YgRswk0_i5wF8E?authuser=0&hl=en&rclk=1"
"Shoreline Flooring Supplies","4.5","41","(904) 281-5056","8036 Phillips Hwy 2a","https://www.google.com/maps/place/Shoreline+Flooring+Supplies/data=!4m7!3m6!1s0x88e5ca18dbcfdda3:0x5e9d2defbe6b6059!8m2!3d30.2263829!4d-81.5894462!16s%2Fg%2F1vg4kmjk!19sChIJo93P2xjK5YgRWWBrvu8tnV4?authuser=0&hl=en&rclk=1"
"Floor & Decor","4.2","679","(904) 701-6487","10595 Brightman BlvdFlooring","https://www.google.com/maps/place/Floor+%26+Decor/data=!4m7!3m6!1s0x88e5b513eed5f51d:0xc77c9e69042d1f13!8m2!3d30.2608305!4d-81.5198375!16s%2Fg%2F11fk02dqh0!19sChIJHfXV7hO15YgREx8tBGmefMc?authuser=0&hl=en&rclk=1"
"The Floorsmith of Jacksonville","5.0","29","(904) 236-8955","6817 Renee Terrace","https://www.google.com/maps/place/The+Floorsmith+of+Jacksonville/data=!4m7!3m6!1s0x88e5b5c378ab9633:0xb7dae1a6211bc2dc!8m2!3d30.2858365!4d-81.5898116!16s%2Fg%2F11cncy7_21!19sChIJM5areMO15YgR3MIbIabh2rc?authuser=0&hl=en&rclk=1"
"Floor & Decor","4.3","1,136","(904) 652-0164","8102 Blanding BlvdFlooring","https://www.google.com/maps/place/Floor+%26+Decor/data=!4m7!3m6!1s0x88e5c6f39b579959:0xfe1e901046c13545!8m2!3d30.2019995!4d-81.7414992!16s%2Fg%2F1thl1pb3!19sChIJWZlXm_PG5YgRRTXBRhCQHv4?authuser=0&hl=en&rclk=1"
"Mercury Carpet & Flooring","4.9","253","(904) 399-5020","5911 Beach Blvd At Beach Blvd","https://www.google.com/maps/place/Mercury+Carpet+%26+Flooring/data=!4m7!3m6!1s0x88e5b5d7f86e5111:0x1071163679607180!8m2!3d30.2930284!4d-81.6027197!16s%2Fg%2F1tg68y6d!19sChIJEVFu-Ne15YgRgHFgeTYWcRA?authuser=0&hl=en&rclk=1"
"50Floor: Jacksonville Carpet, Wood and Flooring Installation","4.5","105","(904) 204-3175","4613 Philips Hwy Suite 209","https://www.google.com/maps/place/50Floor:+Jacksonville+Carpet,+Wood+and+Flooring+Installation/data=!4m7!3m6!1s0x88e5b7a0c0ab646f:0x243f68a84d690d6c!8m2!3d30.2754206!4d-81.6239734!16s%2Fg%2F11sxwxxxhd!19sChIJb2SrwKC35YgRbA1pTahoPyQ?authuser=0&hl=en&rclk=1"
"ProSource of Jacksonville","4.6","57","(904) 290-2130","5250 Sunbeam Rd","https://www.google.com/maps/place/ProSource+of+Jacksonville/data=!4m7!3m6!1s0x88e5cbb4242cf6af:0x6b5f64e10fe8cb49!8m2!3d30.2056233!4d-81.5780533!16s%2Fg%2F1vl5hlrj!19sChIJr_YsJLTL5YgRScvoD-FkX2s?authuser=0&hl=en&rclk=1"
"CARPET MAN FLOORING","4.5","243","(904) 491-2164","1770 St Johns Bluff Rd S","https://www.google.com/maps/place/CARPET+MAN+FLOORING/data=!4m7!3m6!1s0x88e5b4c82e3143b5:0x47f759a025da4660!8m2!3d30.3215173!4d-81.5243983!16s%2Fg%2F1tngr30c!19sChIJtUMxLsi05YgRYEbaJaBZ90c?authuser=0&hl=en&rclk=1"
"Carpet One Floor & Home","4.5","80","(904) 300-0877","8956 Philips HwySpecialist carpet","https://www.google.com/maps/place/Carpet+One+Floor+%26+Home/data=!4m7!3m6!1s0x88e5cbb6b4171435:0x34e08cc8056318d!8m2!3d30.2040414!4d-81.5762082!16s%2Fg%2F1wtbvq0h!19sChIJNRQXtLbL5YgRjTFWgMwITgM?authuser=0&hl=en&rclk=1"
"Precision Flooring","5.0","9","(904) 697-1021","5121 Bowden Rd Ste 203","https://www.google.com/maps/place/Precision+Flooring/data=!4m7!3m6!1s0x88e5c9e1fffc361b:0xaea0391366ed6cda!8m2!3d30.2653452!4d-81.6133861!16s%2Fg%2F11fszznqvp!19sChIJGzb8_-HJ5YgR2mztZhM5oK4?authuser=0&hl=en&rclk=1"
"Empire Today - Jacksonville, FL","4.2","150","(904) 644-1576","10475 Fortune Pkwy Building 200 Suite 210","https://www.google.com/maps/place/Empire+Today+-+Jacksonville,+FL/data=!4m7!3m6!1s0x88e5cbd97cc58e35:0x47000157110dc201!8m2!3d30.1787293!4d-81.5497013!16s%2Fg%2F11nngd9lq8!19sChIJNY7FfNnL5YgRAcINEVcBAEc?authuser=0&hl=en&rclk=1"
"Jacksonville Floors","5.0","2","(904) 549-5775","4541 St Augustine Rd","https://www.google.com/maps/place/Jacksonville+Floors/data=!4m7!3m6!1s0x88e5b77a4b3b3a47:0xc631eeddfdaf6ad1!8m2!3d30.2740423!4d-81.6391404!16s%2Fg%2F11gv_vw7vw!19sChIJRzo7S3q35YgR0Wqv_d3uMcY?authuser=0&hl=en&rclk=1"
"The Floor Club of Jacksonville","4.2","30","(904) 646-4400","11840 Beach Blvd #7","https://www.google.com/maps/place/The+Floor+Club+of+Jacksonville/data=!4m7!3m6!1s0x88e44acd8089f99f:0x62323302bf03160e!8m2!3d30.2863749!4d-81.5120071!16s%2Fg%2F1tph2k28!19sChIJn_mJgM1K5IgRDhYDvwIzMmI?authuser=0&hl=en&rclk=1"
"About Floors n More","4.1","44","(904) 361-3508","2970 Plummer Cove Rd","https://www.google.com/maps/place/About+Floors+n+More/data=!4m7!3m6!1s0x88e5c936e1d14651:0xe8714958f7dc06a!8m2!3d30.1784744!4d-81.6291617!16s%2Fg%2F11b67n9gs2!19sChIJUUbR4TbJ5YgRasB9j5UUhw4?authuser=0&hl=en&rclk=1"
"Gator Carpet and Tile","4.6","148","(904) 262-7304","1 Philips Hwy","https://www.google.com/maps/place/Gator+Carpet+and+Tile/data=!4m7!3m6!1s0x88e5cf59728427bd:0x81288bb84fb5279d!8m2!3d30.1924648!4d-81.56707!16s%2Fg%2F1tj5lzwg!19sChIJvSeEclnP5YgRnSe1T7iLKIE?authuser=0&hl=en&rclk=1"
"BDS Floors- Flooring Store & Installation Services Jacksonville","4.9","82","(904) 524-6610","10230 Atlantic Blvd","https://www.google.com/maps/place/BDS+Floors-+Flooring+Store+%26+Installation+Services+Jacksonville/data=!4m7!3m6!1s0x88e44bd7542537d1:0x1c2347663cb784a9!8m2!3d30.322576!4d-81.5346581!16s%2Fg%2F11jlk40pr3!19sChIJ0TclVNdL5IgRqYS3PGZHIxw?authuser=0&hl=en&rclk=1"
"Just Floored, LLC","4.8","155","(904) 432-6464","4720 Salisbury Rd","https://www.google.com/maps/place/Just+Floored,+LLC/data=!4m7!3m6!1s0x88f5bdf2ef4fbdcb:0xabafbfd9fccdcae4!8m2!3d30.2453142!4d-81.5890754!16s%2Fg%2F1wf22q3g!19sChIJy71P7_K99YgR5MrN_Nm_r6s?authuser=0&hl=en&rclk=1"
"The Flooring Craftsman Inc.","4.7","25","(904) 891-8340","","https://www.google.com/maps/place/The+Flooring+Craftsman+Inc./data=!4m7!3m6!1s0x88e449872cb61a13:0x6d05ca5c51a1e393!8m2!3d30.34499!4d-81.6831069!16s%2Fg%2F1tdkyhh1!19sChIJExq2LIdJ5IgRk-OhUVzKBW0?authuser=0&hl=en&rclk=1"
"Nunes 4 Flooring - Flooring installers/Flooring experts","5.0","47","(904) 528-6432","4 Flooring","https://www.google.com/maps/place/Nunes+4+Flooring+-+Flooring+installers%2FFlooring+experts/data=!4m7!3m6!1s0x88e5cdb9d9d00507:0xf9c116010a8168cd!8m2!3d30.2838274!4d-81.6577159!16s%2Fg%2F11q26frd8p!19sChIJBwXQ2bnN5YgRzWiBCgEWwfk?authuser=0&hl=en&rclk=1"
