"name","address","web"
"Floor Trader of Jacksonville","10769-05 Beach Blvd Jacksonville FL 32246","http://www.floortraderjacksonville.com/"
"Quality Flooring","8640 Philips Hwy Jacksonville FL 32256","http://www.qfjax.com/"
"Floor Coverings International Jacksonville East","6900 Philips Hwy #10 Jacksonville FL 32216","https://www.floorcoveringsinternational.com/locations/us/fl/east-jacksonville/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=391976"
"Lifetime Flooring","8440 Philips Hwy Jacksonville FL 32256","https://www.lifetimeflooringjax.com/"
"Amazing Floors and More","9532 Historic Kings Rd S Jacksonville FL 32257",
"Infinity Floors USA","8032 Philips Hwy #14 Jacksonville FL 32256","http://www.infinity-floors.com/"
"Mike Nakhel Flooring","8640 Philips Hwy STE 8 Jacksonville FL 32256","http://www.mikenakhelflooring.com/"
"Affordable Carpet & Wood","5149 Sunbeam Rd #2 Jacksonville FL 32257","http://www.affordablecarpetandwood.com/"
"Handy Andy Flooring","9440 Philips State Rte Suite 14 Jacksonville FL 32256","https://www.handyandyflooring.com/"
"ProSource Wholesale Flooring","4949 Sunbeam Rd Jacksonville FL 32257","https://www.prosourcewholesale.com/"
